"product_id","name","description","price","inventory_level","category","weight","dimensions","color","manufacturer"
4,"Blue Widget","A versatile blue widget for various applications","120.00",30,"Electronics","0.50","5x2x1 inches","Blue","WidgetCo"
5,"Solar Charger","Portable solar charger for mobile devices","75.00",25,"Electronics","0.30","6x3x0.5 inches","Black","SolarTech"
6,"Wireless Earbuds","High-quality wireless earbuds with noise cancellation","85.00",20,"Audio","0.20","4x2x1 inches","White","SoundGood"
7,"Smart Watch","Stylish smart watch with health tracking features","199.00",15,"Wearables","0.25","1.5x1.5x0.5 inches","Black","TimeKeeper"
8,"LED Desk Lamp","Energy-efficient LED desk lamp with adjustable brightness","45.00",10,"Home","1.00","12x7x7 inches","Silver","BrightLight"
9,"Bluetooth Speaker","Compact Bluetooth speaker with excellent sound quality","60.00",5,"Audio","0.60","8x3x3 inches","Red","MusicBox"
10,"Electric Kettle","Fast-boiling electric kettle with temperature control","50.00",50,"Kitchen","1.20","10x6x6 inches","White","QuickBoil"
11,"Yoga Mat","Eco-friendly, non-slip yoga mat","35.00",40,"Fitness","1.50","24x6 inches (rolled)","Green","YogaLife"
12,"Backpack","Durable backpack suitable for travel and everyday use","80.00",35,"Travel","0.80","20x15x10 inches","Blue","TravelGear"
13,"Action Camera","Waterproof action camera for capturing outdoor adventures","250.00",30,"Electronics","0.35","2.5x1.5x1 inches","Black","AdventureCam"
1,"Laptop","High-performance laptop","1200.00",8,"Computing","2.50","14x9x0.6 inches","Silver","CompTech"
2,"Smartphone","Latest model smartphone","800.00",15,"Mobile","0.20","6x3x0.3 inches","Black","PhoneWorld"
3,"Headphones","Noise-cancelling headphones","150.00",20,"Audio","0.25","7x7x1.5 inches","Gray","SoundMax"
14,"Virtual Reality Headset","Immersive VR headset for gaming and entertainment","299.00",20,"Gaming","0.60","8x7x4 inches","Black","VRWorld"
15,"Wireless Mouse","Ergonomic wireless mouse with high precision","29.99",30,"Computing Accessories","0.10","4x2x1 inches","Blue","ClickTech"
16,"Water Bottle","Stainless steel insulated water bottle","19.99",50,"Fitness Accessories","0.35","10x3 inches","Silver","HydroKeep"
17,"Table Lamp","Modern LED table lamp with touch control","39.95",15,"Home Decor","1.00","14x6x6 inches","White","BrightHome"
18,"Fitness Tracker","Wearable fitness tracker with heart rate monitor","99.00",25,"Wearables","0.05","9 inches (band length)","Black","FitTrack"
